Course Code,Course Title,Time,Days,Room,Lec,Lab,Units,No. of Hours,ETL Units,Instructor/Professor
IT114,Quantitative Methods (Modeling and Simulation),"09:00 – 10:00\n09:00 – 10:00","MWF\nTTh","CCMS Lab 2\nCCMS ROOM 1",2.0,1.0,3.0,5.0,4.25,E. Nicart
IT115,Networking 1,03:30 – 05:00,TTh,CCMS Lab 6,2.0,1.0,3.0,5.0,4.25,N. Lamadrid
IT116,Systems Analysis and Design,"03:00 – 05:00\n11:00 – 12:30","M\nTTh","CCMS Lab 6\nCAS106",2.0,1.0,3.0,5.0,4.25,MG. Bolos
IT117,Systems Administration and Maintenance,"11:00 – 12:00\n10:00 – 11:00","MWF\nTTh","CCMS Lab 2\nEB 207",2.0,1.0,3.0,5.0,4.25,B. Arellano
IT118,Internet of Things,08:00 – 09:00,MWF,ACAD3,3.0,0.0,3.0,3.0,3.0,ML. Acunin
IT119,Data Scalability and Analytics,01:00 – 02:30,MW,CCMS ROOM 3,3.0,0.0,3.0,3.0,3.0,R. Bigueras
GEC9,Ang Buhay at mga Akda ni Rizal,02:00 – 03:30,TTh,CCMS ROOM 1,3.0,0.0,3.0,3.0,3.0,J. Porcincula
TOTAL,,,,17.0,4.0,21.0,29.0,26.0,
